annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
78,5,24849,87,890,301,271,0.0012
79,5,24849,0,885,393,176,0.0012
80,5,24849,81,815,816,307,0.0010
81,8,20237,622,177,227,216,0.9532
82,8,22346,129,220,208,198,0.9465
83,8,3482,590,845,284,167,0.9171
84,8,27652,98,854,225,205,0.8593
85,8,16231,138,220,199,197,0.0043
86,8,21025,129,218,209,197,0.0024
87,9,22346,113,210,202,197,0.9415
88,9,27652,62,810,225,210,0.9249
89,9,20237,595,173,222,214,0.9233
90,9,3482,561,810,289,175,0.9167
91,9,16231,113,209,205,198,0.0052
92,9,21025,112,208,205,198,0.0034
93,9,21770,119,209,196,194,0.0010
94,10,1899,643,845,190,188,0.9818
95,10,21770,645,290,190,182,0.9527
96,10,16547,102,807,241,238,0.9437
97,10,29450,104,236,409,219,0.7093
98,10,21770,645,307,186,164,0.0076
99,10,18109,641,287,196,184,0.0066
100,10,16547,100,233,411,219,0.0034
101,10,22346,642,292,190,180,0.0034
102,10,36636,101,235,409,218,0.0033
103,10,21770,642,295,188,170,0.0032
104,10,3742,101,234,409,219,0.0023
105,10,29666,104,237,407,218,0.0020
106,10,3742,103,807,243,238,0.0019
107,10,29450,90,227,432,344,0.0018
108,10,1899,646,856,182,176,0.0017
109,10,1899,643,844,187,158,0.0016
110,10,29450,96,234,423,308,0.0014
111,10,29450,93,207,428,249,0.0013
112,10,21770,651,289,177,196,0.0011
113,10,1899,656,846,176,110,0.0010
114,13,16231,147,331,190,191,0.9049
115,13,3350,431,855,189,191,0.8379
116,13,33879,475,247,442,276,0.7462
117,13,22073,147,329,190,194,0.0601
118,13,31862,143,330,192,190,0.0072
119,13,30307,625,1,346,117,0.0057
120,13,33879,468,192,456,329,0.0022
121,13,3350,428,826,194,221,0.0018
122,13,16550,597,0,379,126,0.0015
123,13,33879,444,75,486,451,0.0012
124,13,33879,495,3,472,219,0.0012
125,13,3831,607,1,368,114,0.0011
126,15,33879,51,785,445,276,0.9541
127,15,3350,360,248,184,182,0.8750
128,15,16231,644,796,194,190,0.5872
129,15,22073,643,794,192,191,0.2098
130,15,16547,47,785,445,275,0.0113
131,15,3742,47,787,444,272,0.0040
132,15,16687,753,1,223,78,0.0028
133,15,33879,53,686,438,367,0.0020
134,15,33879,52,775,648,278,0.0020
135,15,16687,468,0,508,689,0.0020
136,15,33879,50,778,442,355,0.0019
137,15,16687,623,0,353,391,0.0018
138,15,22073,643,780,190,212,0.0013
139,15,33879,51,779,480,290,0.0013
140,15,16687,659,1,317,82,0.0012
141,15,33879,55,669,495,388,0.0012
142,15,16687,726,0,250,84,0.0012
143,15,33879,57,697,448,373,0.0010
144,17,3350,297,167,184,188,0.9113
145,17,35205,118,587,307,388,0.8892
146,17,41767,555,646,278,298,0.8735
147,17,36636,556,641,271,295,0.0064
148,17,5093,557,644,271,299,0.0043
149,17,21324,559,642,270,299,0.0043
150,17,41767,550,613,284,329,0.0033
151,17,41767,549,631,380,328,0.0027
152,17,16687,742,1,234,99,0.0027
153,17,41767,549,639,358,311,0.0024
154,17,41767,166,618,672,332,0.0023
155,17,16687,517,0,459,491,0.0022
156,17,36636,119,583,299,388,0.0019
157,17,41767,551,643,289,337,0.0018
158,17,16687,673,1,303,93,0.0017
159,17,16687,654,0,322,300,0.0014
160,17,41767,530,644,313,406,0.0014
161,19,36636,622,205,261,170,0.9841
162,19,27732,124,767,315,275,0.9574
163,19,3482,608,788,277,210,0.9033
164,19,28762,100,168,215,205,0.8827
165,19,1899,621,202,262,172,0.0044
166,19,20876,618,202,267,170,0.0020
167,19,27732,126,696,316,346,0.0019
168,19,27732,103,763,346,406,0.0016
169,19,27732,119,769,417,277,0.0016
170,19,3482,125,767,311,278,0.0015
171,19,19860,127,770,307,276,0.0015
172,19,2482,605,784,283,217,0.0014
173,19,27732,105,771,340,288,0.0013
174,23,16261,595,177,236,228,0.9107
175,23,3482,560,810,289,174,0.8972
176,23,27652,60,808,226,212,0.8970
177,23,25366,21,88,416,438,0.8329
178,24,3482,589,845,285,167,0.9192
179,24,16261,621,183,244,231,0.8615
180,24,27652,95,851,222,205,0.8464
181,24,25366,31,99,429,448,0.8230
182,27,23222,71,96,300,516,0.9830
183,27,25437,124,823,258,263,0.9392
184,27,2482,602,79,203,474,0.9182
185,27,13394,596,711,236,517,0.6166
186,27,2482,617,11,246,528,0.0051
187,27,23222,53,101,317,536,0.0050
188,27,23222,0,92,372,514,0.0032
189,27,2482,599,11,211,549,0.0032
190,27,23222,71,83,350,522,0.0023
191,27,2482,578,72,227,490,0.0017
192,27,23222,28,52,342,547,0.0013
193,27,2482,602,17,356,520,0.0011
194,27,2482,559,78,244,470,0.0011
195,27,2482,601,75,328,483,0.0011
196,27,2482,613,5,352,163,0.0011
197,27,2482,589,77,227,1007,0.0011
198,27,2482,592,84,263,554,0.0010
199,28,27776,176,812,176,198,0.9286
200,28,35205,613,140,225,405,0.9190
201,28,3482,565,810,265,220,0.8929
202,28,25366,20,62,416,458,0.8343
203,28,36636,176,810,177,204,0.0151
204,28,35205,582,138,256,407,0.0061
205,28,3482,179,811,178,204,0.0040
206,28,36636,615,144,219,397,0.0031
207,28,29666,177,810,177,205,0.0027
208,28,35205,615,131,285,418,0.0019
209,28,27776,175,879,178,136,0.0012
210,28,3350,177,810,176,204,0.0012
211,28,2482,567,810,270,225,0.0012
212,28,35205,545,136,294,408,0.0010
213,29,35205,580,132,227,393,0.9244
214,29,27776,144,776,180,204,0.9057
215,29,3482,535,776,272,227,0.8445
216,29,25366,6,48,405,453,0.8210
217,29,36636,146,775,181,207,0.0050
218,29,29666,146,775,181,208,0.0027
219,29,27776,148,774,164,207,0.0021
220,29,3350,142,774,183,207,0.0016
221,29,18356,13,58,385,441,0.0016
222,29,22346,146,775,181,207,0.0016
223,29,36636,588,137,216,387,0.0015
224,29,35205,0,121,816,400,0.0013
225,29,35205,577,126,351,397,0.0013
226,29,3482,145,775,179,208,0.0012
227,29,35205,551,6,262,525,0.0011
228,31,3543,111,237,209,204,0.9473
229,31,6562,195,716,220,359,0.9449
230,31,16550,593,49,284,480,0.7440
231,31,12419,656,847,185,179,0.2047
232,31,4542,653,849,191,180,0.0898
233,31,19606,652,848,189,180,0.0319
234,31,16231,652,848,191,182,0.0226
235,31,3543,112,259,207,182,0.0043
236,31,1899,653,847,191,182,0.0043
237,31,22073,654,848,187,179,0.0037
238,31,10220,197,714,214,355,0.0030
239,31,10220,197,748,213,322,0.0025
240,31,27925,197,711,222,365,0.0014
241,31,31862,653,849,186,178,0.0013
242,31,21025,653,850,190,181,0.0012
243,31,16550,590,45,321,490,0.0011
244,31,16550,955,6,21,450,0.0010
245,32,3543,673,827,212,211,0.9497
246,32,6562,581,231,214,336,0.9100
247,32,16550,106,706,295,496,0.7898
248,32,4542,162,278,185,178,0.5584
249,32,12419,162,279,184,177,0.3637
250,32,19606,161,278,186,182,0.0112
251,32,1899,164,278,183,177,0.0065
252,32,16231,164,279,183,176,0.0060
253,32,29870,165,276,183,182,0.0032
254,32,27776,577,232,223,329,0.0026
255,32,27776,579,234,217,275,0.0019
256,32,10220,578,236,219,304,0.0015
257,32,33207,582,232,213,332,0.0012
258,32,27925,581,230,217,336,0.0011
259,38,3482,624,718,209,272,0.9509
260,38,20876,84,724,338,243,0.9356
261,38,35205,629,161,213,396,0.9043
262,38,31884,114,26,395,505,0.8321
263,38,20876,81,703,341,259,0.0041
264,38,35205,494,167,346,387,0.0033
265,38,20876,0,724,432,242,0.0025
266,38,36636,84,725,333,238,0.0023
267,38,2482,625,710,217,284,0.0021
268,38,35205,373,165,469,390,0.0017
269,38,35205,630,164,269,394,0.0014
270,38,20876,77,726,346,296,0.0014
271,38,35205,529,164,312,390,0.0014
272,38,35205,621,158,313,390,0.0011
273,38,3482,84,725,332,238,0.0011
274,40,3482,158,215,248,221,0.9424
275,40,29666,119,839,231,226,0.8839
276,40,31884,619,609,323,558,0.8465
277,40,19860,646,278,223,172,0.6147
278,40,3543,120,841,230,226,0.0024
279,40,21770,121,840,232,227,0.0018
280,40,31884,620,601,356,566,0.0017
281,40,1899,122,842,229,222,0.0010
282,40,21025,121,840,232,230,0.0010
283,41,29666,639,206,225,215,0.8989
284,41,19860,118,863,222,171,0.8949
285,41,3482,593,872,256,230,0.8867
286,41,31884,54,89,325,544,0.7588
287,41,3543,640,204,223,216,0.0116
288,41,21025,641,208,220,210,0.0040
289,41,1899,127,867,197,163,0.0025
290,41,1899,121,866,129,163,0.0013
291,41,1899,165,868,171,156,0.0010
292,42,29666,608,199,221,215,0.9535
293,42,3482,565,840,260,231,0.8662
294,42,19860,84,826,226,176,0.8372
295,42,31884,40,69,312,537,0.7647
296,42,3543,610,199,217,217,0.0016
297,42,1899,610,198,216,212,0.0015
298,42,21025,611,204,215,213,0.0013
299,42,4377,562,833,274,245,0.0012
300,44,29666,93,723,231,231,0.9346
301,44,13899,576,671,179,265,0.9183
302,44,3350,369,153,185,189,0.9084
303,44,16687,490,0,486,610,0.0025
304,44,27732,761,1173,215,107,0.0022
305,44,16687,742,1,234,85,0.0019
306,44,27732,577,669,183,266,0.0016
307,44,13899,573,664,195,273,0.0016
308,44,16687,617,0,359,433,0.0016
309,44,12080,96,723,230,232,0.0016
310,44,27732,695,1177,281,103,0.0015
311,44,1899,0,1256,61,24,0.0015
312,44,20013,578,669,181,267,0.0014
313,44,16687,647,1,329,111,0.0013
314,44,21324,579,669,174,272,0.0011
315,44,16687,360,0,616,690,0.0011
316,44,19231,93,724,233,231,0.0011
317,46,23222,100,108,316,505,0.9733
318,46,2482,591,71,244,477,0.9157
319,46,3742,116,782,322,324,0.8528
320,46,12080,605,711,231,450,0.8388
321,46,2482,582,17,256,538,0.0035
322,46,19860,884,1252,92,28,0.0029
323,46,1899,925,1253,51,27,0.0028
324,46,2482,951,24,25,776,0.0023
325,46,23222,78,107,346,547,0.0022
326,46,1899,0,1238,40,42,0.0018
327,46,2482,588,74,317,477,0.0018
328,46,19860,966,1253,10,27,0.0018
329,46,3742,107,759,498,366,0.0016
330,46,2482,594,66,377,478,0.0016
331,46,2482,953,26,23,840,0.0015
332,46,23222,95,106,388,506,0.0014
333,46,16547,115,783,328,322,0.0013
334,46,3742,121,783,324,347,0.0013
335,46,12080,587,705,248,447,0.0013
336,46,2482,595,53,251,500,0.0012
337,46,23222,0,101,432,508,0.0012
338,46,2482,950,11,26,743,0.0012
339,46,19860,856,1217,120,63,0.0011
340,46,2482,566,70,271,478,0.0010
341,47,23222,530,588,310,505,0.9734
342,47,2482,88,665,255,471,0.9094
343,47,12080,110,104,224,436,0.8616
344,47,3742,493,164,316,301,0.7134
345,47,16547,491,165,317,302,0.0091
346,47,6191,97,98,241,443,0.0030
347,47,3742,752,1,217,96,0.0030
348,47,23222,441,592,399,496,0.0026
349,47,5093,493,166,315,299,0.0026
350,47,12080,105,111,375,428,0.0018
351,47,27732,794,1233,182,47,0.0015
352,47,3482,0,1217,271,63,0.0014
353,47,3831,3,0,232,70,0.0013
354,47,27732,873,1140,103,140,0.0013
355,47,1899,872,1202,104,78,0.0013
356,47,3482,0,1218,226,62,0.0013
357,47,29666,115,116,218,419,0.0012
358,47,23222,529,582,374,501,0.0012
359,47,3742,714,2,243,92,0.0012
360,47,2482,88,663,387,475,0.0012
361,47,3482,0,1218,319,62,0.0012
362,47,3742,478,129,339,338,0.0012
363,47,2482,0,657,355,623,0.0011
364,47,27732,832,1216,144,64,0.0011
365,53,25437,132,853,261,266,0.9273
366,53,2482,652,97,209,476,0.9050
367,53,6191,91,110,366,480,0.9042
368,53,5885,606,681,238,505,0.6121
369,53,2482,635,31,245,546,0.0048
370,53,2482,644,8,228,562,0.0043
371,53,2482,652,90,265,480,0.0025
372,53,2482,591,1,373,161,0.0019
373,53,2482,589,1,346,190,0.0016
374,53,2482,629,91,222,1097,0.0015
375,53,2482,911,83,65,760,0.0014
376,53,5885,612,677,286,517,0.0012
377,53,2482,651,82,242,488,0.0012
378,53,2482,576,0,390,130,0.0011
379,53,5885,953,467,23,776,0.0011
380,53,2482,954,364,22,876,0.0011
381,53,2482,929,99,47,914,0.0011
382,53,2482,646,18,268,550,0.0011
383,53,5885,947,528,29,704,0.0010
384,53,31862,140,853,255,249,0.0010
385,53,2482,83,90,778,478,0.0010
386,54,25437,545,177,250,253,0.9519
387,54,6191,466,644,372,488,0.8907
388,54,2482,74,665,198,479,0.8161
389,54,5885,119,84,225,476,0.5220
390,54,3831,741,0,224,106,0.0041
391,54,2482,88,70,202,1079,0.0038
392,54,18146,724,1,234,104,0.0025
393,54,27732,786,1228,190,52,0.0021
394,54,3482,0,1216,199,64,0.0021
395,54,2482,80,569,195,574,0.0016
396,54,5885,105,69,235,492,0.0014
397,54,19551,720,0,245,196,0.0014
398,54,2482,0,663,273,481,0.0013
399,54,5885,91,21,243,541,0.0012
400,54,27732,817,1218,159,62,0.0012
401,54,6191,464,645,441,497,0.0012
402,54,35205,776,1167,200,113,0.0011
403,54,27732,845,1153,131,127,0.0010
404,54,1899,848,1201,128,79,0.0010
405,54,2482,15,659,265,496,0.0010
406,54,19860,818,1200,158,80,0.0010
407,54,31884,733,1,243,112,0.0010
408,55,3350,424,848,188,190,0.8882
409,55,20013,52,282,340,323,0.8253
410,55,16687,433,163,506,458,0.4326
411,55,31884,663,2,309,107,0.0071
412,55,16687,404,172,539,530,0.0032
413,55,3350,50,282,341,321,0.0031
414,55,3350,419,830,193,211,0.0030
415,55,16687,647,2,329,100,0.0023
416,55,18356,52,284,339,319,0.0019
417,55,20013,46,285,346,359,0.0018
418,55,16687,117,167,831,583,0.0018
419,55,1899,0,1234,71,46,0.0017
420,55,20013,0,280,395,318,0.0016
421,55,16687,177,165,764,803,0.0015
422,55,31884,614,2,362,116,0.0013
423,55,33008,56,283,335,320,0.0013
424,55,16687,427,167,517,490,0.0013
425,55,29666,54,288,337,316,0.0013
426,55,20013,49,213,345,390,0.0012
427,56,3350,326,193,186,188,0.9288
428,56,20013,545,621,353,337,0.8972
429,56,16687,8,552,503,505,0.5228
430,56,18356,551,623,344,337,0.0121
431,56,16687,0,557,522,532,0.0091
432,56,16687,756,1,220,90,0.0029
433,56,16687,502,0,474,554,0.0027
434,56,20013,541,619,366,416,0.0022
435,56,16687,33,604,885,380,0.0021
436,56,16687,666,1,310,95,0.0019
437,56,16687,649,0,327,366,0.0017
438,56,16687,0,559,528,612,0.0016
439,56,29666,547,620,348,342,0.0015
440,56,16687,0,593,925,414,0.0014
441,56,3350,321,153,186,230,0.0013
442,56,16687,11,558,628,588,0.0013
443,56,20013,543,601,433,364,0.0012
444,56,16687,409,0,567,645,0.0011
445,56,31884,778,1,198,103,0.0010
446,58,3482,571,837,264,229,0.8789
447,58,34596,39,54,390,464,0.8662
448,58,35205,552,93,284,366,0.8642
449,58,19860,92,827,226,175,0.7878
450,58,1899,102,828,207,166,0.0018
451,58,35205,547,21,289,444,0.0017
452,58,34596,4,40,433,475,0.0013
453,58,36636,558,92,272,366,0.0012
454,60,3482,149,220,249,222,0.9417
455,60,34596,547,688,415,492,0.9367
456,60,35205,104,770,306,391,0.9077
457,60,19860,641,279,218,170,0.6723
458,60,34596,542,679,434,495,0.0024
459,60,1899,133,784,205,352,0.0017
460,60,19860,640,256,219,193,0.0017
461,60,1899,656,280,198,169,0.0014
462,60,1899,135,782,272,308,0.0013
463,60,1899,740,284,117,164,0.0013
464,60,36636,114,773,289,388,0.0011
465,60,34596,535,678,418,542,0.0010
466,62,18146,93,547,288,423,0.9787
467,62,3350,324,155,186,190,0.9534
468,62,36636,543,650,204,254,0.9510
469,62,18146,85,554,340,401,0.0048
470,62,18146,82,556,307,515,0.0026
471,62,18146,82,513,293,456,0.0025
472,62,16687,762,1,214,90,0.0024
473,62,3350,322,153,189,209,0.0024
474,62,18146,81,554,297,484,0.0023
475,62,16687,528,0,448,528,0.0019
476,62,18146,0,550,379,414,0.0016
477,62,1899,547,649,200,259,0.0016
478,62,16687,658,0,318,324,0.0015
479,62,16687,665,1,311,88,0.0014
480,62,3350,317,149,216,197,0.0010
481,64,29666,153,278,228,222,0.9758
482,64,20013,588,264,346,319,0.9316
483,64,3350,396,888,190,192,0.7664
484,64,20013,579,272,397,313,0.0040
485,64,20013,584,211,354,370,0.0039
486,64,20013,576,266,362,401,0.0031
487,64,20013,572,267,365,439,0.0029
488,64,33008,593,269,334,318,0.0024
489,64,16687,2,0,353,522,0.0020
490,64,29666,593,323,334,262,0.0018
491,64,29666,590,267,338,317,0.0017
492,64,1899,0,1249,73,30,0.0017
493,64,16687,6,1,303,101,0.0016
494,64,16687,0,0,410,592,0.0013
495,64,18356,591,267,337,317,0.0012
496,64,20013,566,259,359,344,0.0012
497,64,16687,0,1,529,636,0.0012
498,64,1899,0,1244,77,35,0.0012
499,64,16687,0,2,419,130,0.0012
500,64,31884,710,2,263,92,0.0011
501,64,21025,159,275,221,222,0.0010
502,65,29666,557,726,234,235,0.9283
503,65,20013,0,633,342,346,0.9088
504,65,3350,348,154,186,189,0.8734
505,65,20013,0,638,347,388,0.0052
506,65,33008,0,635,338,343,0.0028
507,65,3350,0,639,334,338,0.0020
508,65,29666,0,642,336,335,0.0019
509,65,3350,349,151,187,212,0.0019
510,65,18356,0,638,334,341,0.0018
511,65,16687,763,1,213,86,0.0016
512,65,16687,507,0,469,630,0.0015
513,65,20013,0,620,346,375,0.0014
514,65,16687,658,0,318,404,0.0012
515,65,20013,0,642,538,351,0.0011
516,66,29666,597,818,230,223,0.9385
517,66,20013,30,717,353,339,0.9329
518,66,3350,394,211,185,184,0.8896
519,66,33008,33,718,347,337,0.0058
520,66,3350,391,206,187,203,0.0048
521,66,3350,31,716,350,341,0.0044
522,66,20013,28,714,354,412,0.0034
523,66,16687,751,1,225,76,0.0026
524,66,16687,478,0,498,601,0.0025
525,66,20013,28,714,404,348,0.0022
526,66,18356,36,720,340,336,0.0021
527,66,16687,613,0,363,395,0.0017
528,66,20013,0,717,386,347,0.0017
529,66,16687,646,1,330,82,0.0016
530,68,27776,638,295,173,193,0.9853
531,68,16231,155,828,192,192,0.9424
532,68,3482,171,278,261,216,0.9108
533,68,30307,512,769,443,373,0.8777
534,68,27776,636,292,180,187,0.0066
535,68,3482,634,292,176,198,0.0055
536,68,36636,635,293,175,195,0.0038
537,68,22346,153,827,192,192,0.0021
538,68,4542,153,827,190,191,0.0019
539,68,22073,155,827,193,196,0.0015
540,68,29666,635,293,176,196,0.0012
541,68,12419,153,827,193,193,0.0012
542,68,27776,639,327,170,162,0.0012
543,68,16547,634,292,177,199,0.0012
544,68,3350,152,829,193,193,0.0012
545,68,30307,518,761,458,383,0.0011
546,70,1899,631,898,213,156,0.9536
547,70,24849,644,257,194,268,0.8767
548,70,16550,47,709,297,497,0.6944
549,70,29450,46,234,408,224,0.6742
550,70,36636,647,257,189,267,0.0357
551,70,6562,647,257,188,268,0.0264
552,70,24849,645,225,196,307,0.0081
553,70,1899,637,900,219,157,0.0055
554,70,16547,44,233,406,224,0.0041
555,70,24849,643,250,256,282,0.0037
556,70,3742,44,233,403,225,0.0028
557,70,24849,643,245,277,300,0.0027
558,70,1899,623,898,216,146,0.0025
559,70,29450,48,229,763,257,0.0023
560,70,36636,45,233,403,225,0.0021
561,70,24849,642,249,286,279,0.0017
562,70,24849,522,250,318,286,0.0016
563,70,24849,371,246,470,288,0.0016
564,70,29450,49,233,418,299,0.0014
565,70,29450,2,222,457,245,0.0012
566,70,29450,42,226,411,339,0.0012
567,70,29450,46,216,630,266,0.0011
568,72,1899,156,225,208,151,0.9794
569,72,24849,152,773,198,283,0.8797
570,72,29450,547,840,414,226,0.8355
571,72,16550,645,47,287,478,0.7920
572,72,36636,154,771,191,281,0.0067
573,72,29450,547,843,412,270,0.0049
574,72,6562,153,772,193,280,0.0048
575,72,24849,99,769,253,294,0.0047
576,72,24849,152,770,317,288,0.0039
577,72,29450,548,795,414,267,0.0035
578,72,29450,542,845,434,224,0.0022
579,72,16547,548,843,413,221,0.0021
580,72,29450,155,822,807,246,0.0019
581,72,3742,544,843,415,221,0.0017
582,72,24849,65,761,288,291,0.0016
583,72,29450,543,843,426,316,0.0015
584,72,24849,153,769,206,361,0.0011
585,72,36636,552,842,406,221,0.0011
586,72,1899,159,228,218,145,0.0011
587,73,12246,596,847,210,131,0.9707
588,73,3543,76,198,201,199,0.9624
589,73,6562,167,672,221,367,0.9398
590,73,16550,524,70,353,428,0.8707
591,73,12246,589,848,212,115,0.1169
592,73,1899,593,843,210,135,0.0164
593,73,12246,599,848,202,122,0.0149
594,73,10220,163,668,216,361,0.0042
595,73,3543,75,221,197,178,0.0034
596,73,3350,594,847,210,132,0.0028
597,73,12246,608,849,199,52,0.0026
598,73,10220,169,718,215,309,0.0022
599,73,3482,591,847,213,128,0.0020
600,73,27776,170,785,209,247,0.0019
601,73,27776,166,702,213,327,0.0017
602,73,12246,602,848,210,84,0.0016
603,73,36636,529,75,343,424,0.0013
604,73,27776,170,729,213,306,0.0010
605,73,10220,164,683,216,314,0.0010
606,75,12246,620,880,209,125,0.9885
607,75,6562,196,716,221,358,0.9429
608,75,3543,90,207,207,203,0.9339
609,75,16550,554,79,365,436,0.8137
610,75,12246,625,881,204,80,0.0194
611,75,12246,615,880,211,114,0.0114
612,75,12246,620,880,215,48,0.0081
613,75,12246,625,881,202,53,0.0061
614,75,3350,618,877,211,128,0.0042
615,75,12246,620,882,203,86,0.0041
616,75,29666,620,882,207,123,0.0024
617,75,6562,201,721,216,329,0.0021
618,75,12246,626,881,200,107,0.0019
619,75,3543,93,216,217,196,0.0017
620,75,10220,198,739,211,322,0.0016
621,75,3543,86,217,204,192,0.0015
622,75,44198,617,877,216,124,0.0015
623,75,10220,199,714,215,353,0.0015
624,75,10220,201,760,209,310,0.0014
625,75,25437,620,882,207,123,0.0013
626,75,10220,204,799,205,266,0.0012
627,75,27992,617,875,214,123,0.0011
628,75,23202,608,882,219,113,0.0011
629,75,27776,203,830,205,238,0.0010
630,79,16261,130,297,245,237,0.9202
631,79,19231,503,237,328,253,0.8699
632,79,3350,387,847,188,191,0.8538
633,79,18356,501,235,327,257,0.0090
634,79,29666,501,237,326,256,0.0040
635,79,1899,0,1238,62,42,0.0028
636,79,3350,383,831,197,208,0.0023
637,79,19231,486,235,346,326,0.0022
638,79,19231,479,215,353,275,0.0017
639,79,19231,505,235,333,275,0.0017
640,79,36636,503,236,329,255,0.0015
641,79,19231,500,164,333,330,0.0015
642,79,30307,637,2,334,105,0.0015
643,79,19231,494,232,418,264,0.0011
644,80,19231,94,697,338,268,0.9768
645,80,16261,566,694,253,246,0.9404
646,80,3350,360,196,184,188,0.9033
647,80,18356,95,697,337,270,0.0226
648,80,29666,91,695,339,270,0.0059
649,80,19231,83,690,361,337,0.0038
650,80,16687,518,0,458,569,0.0028
651,80,16687,748,1,228,86,0.0028
652,80,16687,635,0,341,399,0.0019
653,80,16687,666,1,310,94,0.0016
654,80,19231,81,587,356,371,0.0015
655,80,3350,360,152,183,231,0.0014
656,80,16547,95,699,335,267,0.0013
657,80,19231,83,689,662,264,0.0013
658,80,16687,406,0,570,654,0.0012
659,80,27732,756,1202,220,78,0.0012
660,80,19231,0,688,446,280,0.0011
661,82,19551,118,131,319,508,0.9279
662,82,2482,632,94,199,470,0.8563
663,82,22361,608,740,271,412,0.7804
664,82,3742,122,837,333,331,0.7354
665,82,2482,638,6,270,335,0.0051
666,82,5093,119,836,335,333,0.0029
667,82,2482,622,39,255,532,0.0025
668,82,2482,627,6,216,564,0.0021
669,82,19551,108,124,433,517,0.0019
670,82,2482,634,4,329,132,0.0017
671,82,22361,612,701,269,457,0.0016
672,82,2482,322,92,507,477,0.0015
673,82,3742,110,819,474,359,0.0012
674,82,19551,104,121,574,512,0.0012
675,82,2482,204,96,625,477,0.0012
676,82,22361,563,734,320,424,0.0012
677,82,3742,608,743,269,407,0.0011
678,82,2482,630,11,319,537,0.0011
679,82,22361,589,745,288,485,0.0011
680,82,2482,618,94,225,631,0.0010
681,82,2482,609,1,363,148,0.0010
682,82,19551,84,65,357,582,0.0010
683,83,19551,504,589,321,493,0.9276
684,83,22361,87,118,255,390,0.9251
685,83,2482,93,662,207,490,0.8310
686,83,3742,491,129,316,303,0.6712
687,83,5093,489,128,315,302,0.0632
688,83,22361,81,110,260,427,0.0084
689,83,27732,781,1210,195,70,0.0039
690,83,13899,87,129,249,378,0.0033
691,83,19551,501,590,410,485,0.0029
692,83,22361,86,115,433,373,0.0028
693,83,19551,494,595,336,521,0.0026
694,83,2482,90,658,232,494,0.0023
